loc_rowid,kepid,kepoi_name,kepler_name,Exo status,Orbital period,impact parameter,transit duration,radii(planet),orbit semi major,temperature,star temp,star radii,star mass
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,0.818,1.74319,13.04,0.0354,1339,5820,0.964,0.971
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,0.224,3.88864,16.1,0.0376,2048,6440,1.952,1.449
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887803076,0.054,2.36255,4.82,0.053,800,4778,0.763,0.83
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,3.849371737,0.915,2.632,12.94,0.0548,2034,6244,2.992,1.482
5,8554498,K00005.01,,CANDIDATE,4.780327581,0.952,2.0253,7.14,0.059,1441,5937,1.787,1.197
6,3248033,K00006.01,,FALSE POSITIVE,1.334101467,0.153,2.1033,1.74,0.025,2169,6178,1.58,1.16
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668926,0.021,3.98235,4.13,0.044,1515,5795,1.545,1.097
8,5903312,K00008.01,,FALSE POSITIVE,1.16015259,0.748,1.3433,1.4,0.0213,1751,5842,0.985,0.959
9,11553706,K00009.01,,FALSE POSITIVE,3.719809197,1.279,3.5317,87.21,0.0514,1873,6284,2.348,1.309
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,0.631,3.19843,14.59,0.0473,1521,6225,1.451,1.132
11,11913073,K00011.01,,FALSE POSITIVE,3.747838198,1.121,5.0642,13.65,0.046,1031,5514,0.826,0.926
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,17.85522168,0.075,7.41287,13.16,0.1491,911,6823,1.367,1.386
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,1.763587535,0.512,3.16877,21.42,0.0386,3559,9107,3.031,2.466
14,7684873,K00014.01,,FALSE POSITIVE,2.947376671,2.641,2.0911,403.59,0.0492,2404,8090,2.234,1.828
15,3964562,K00015.01,,FALSE POSITIVE,3.012476582,1.261,3.1424,65.25,0.052,2371,8601,2.031,2.063
16,9110357,K00016.01,,FALSE POSITIVE,0.895277575,0.928,2.711,9.27,0.0231,4253,8040,3.325,2.053
17,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699282,0.079,3.59385,13.06,0.0435,1356,5640,1.291,1.047
18,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465446,0.075,4.56904,14.92,0.05,1640,6290,1.746,1.319
19,7255336,K00019.01,,FALSE POSITIVE,1.20320092,1.274,1.9197,49.25,0.0225,2124,6218,1.349,1.045
20,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.437962934,0.069,4.69813,18.05,0.0545,1338,5953,1.415,1.093
21,10125352,K00021.01,,FALSE POSITIVE,4.288515468,1.283,2.2959,76.51,0.0534,1722,6378,2.002,1.104
22,9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448838,0.306,4.2854,12.63,0.0813,1028,5972,1.237,1.148
23,9071386,K00023.01,,FALSE POSITIVE,4.693305543,0.23,5.17249,17.85,0.06,1389,6365,1.47,1.312
24,4743513,K00024.01,,FALSE POSITIVE,2.086075752,0.914,2.2647,10.3,0.0304,1845,6131,1.417,0.862
25,10593759,K00025.01,,FALSE POSITIVE,3.132604547,1.251,3.6337,48.73,0.043,1444,6248,1.181,1.078
26,5021737,K00026.01,,FALSE POSITIVE,15.03946326,0.902,5.1008,12.36,0.128,962,6501,1.441,1.236
27,3832716,K00027.01,,FALSE POSITIVE,1.141877248,0.598,4.33931,88.62,0.0212,2184,6158,1.368,0.969
28,4247791,K00028.01,,FALSE POSITIVE,4.100870416,0.938,8.15361,82.46,0.0517,1413,5923,1.51,1.09
29,6956014,K00031.01,,FALSE POSITIVE,0.925589891,0.616,1.967,50.6,0.0181,6637,4094,24.488,0.925
30,5725087,K00033.01,,FALSE POSITIVE,0.366197145,0.319,1.2335,51.34,0.0122,9983,4448,31.5,1.789
31,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.81590421,0.58,6.3856,2.26,0.109,939,5788,1.474,1.05
32,6521045,K00041.02,Kepler-100 b,CONFIRMED,6.88707073,0.696,4.4679,1.3,0.072,1155,5788,1.474,1.05
33,6521045,K00041.03,Kepler-100 d,CONFIRMED,35.3331932,0.656,5.966,1.55,0.2143,670,5788,1.474,1.05
34,8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.83367834,0.013,4.5112,2.43,0.1424,866,6407,1.337,1.208
35,9025922,K00043.01,,FALSE POSITIVE,11.32029599,0.914,4.5866,8.02,0.0989,811,5780,1,1
36,8845026,K00044.01,,FALSE POSITIVE,66.46746217,0.116,19.6638,11.97,0.3278,466,5843,1.073,1.061
37,3742855,K00045.01,,FALSE POSITIVE,6.397185875,0.755,5.8638,15.02,0.0676,981,5780,1,1
38,10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487688776,0.026,3.83661,5.64,0.0461,1445,5576,1.593,1.074
39,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.02977241,0.379,3.961,1.18,0.0665,1204,5576,1.593,1.074
40,7837302,K00048.01,,FALSE POSITIVE,23.83680888,1.008,6.02854,59.31,0.1662,919,6095,1.94,1.076
41,9527334,K00049.01,Kepler-461 b,CONFIRMED,8.31377304,0.002,2.964,2.74,0.0821,886,5900,0.951,1.065
42,6056992,K00051.01,,FALSE POSITIVE,10.43114677,1.225,3.8853,50.44,0.0936,833,5780,1,1
43,3558981,K00052.01,,FALSE POSITIVE,2.98786272,0.621,2.5814,17.82,0.0386,1064,5231,0.821,0.859
44,2445975,K00053.01,,FALSE POSITIVE,3.388887193,0.387,2.4475,10.72,0.0442,1212,5780,1,1
45,8248939,K00061.01,,FALSE POSITIVE,1.63345402,1.19,3.817,24.87,0.0274,1750,6283,1.091,1.019
46,11554435,K00063.01,Kepler-63 b,CONFIRMED,9.43414171,0.538,2.8112,5.73,0.0858,791,5578,0.886,0.943
47,7051180,K00064.01,,CANDIDATE,1.951082219,0.925,1.6975,10.35,0.033,2005,5302,2.426,1.258
48,10620329,K00066.01,,FALSE POSITIVE,0.436282594,1.269,1.3988,83.25,0.0137,5187,8491,2.622,1.791
49,8669092,K00068.01,,FALSE POSITIVE,1.000840564,1.165,1.3292,80.25,0.0216,3367,6287,3.177,1.328
50,3544595,K00069.01,Kepler-93 b,CONFIRMED,4.72674037,0.657,2.9267,1.56,0.0525,1028,5648,0.894,0.866
51,6850504,K00070.01,Kepler-20 c,CONFIRMED,10.85409593,0.422,3.7768,2.99,0.0919,765,5465,0.925,0.876
52,6850504,K00070.02,Kepler-20 b,CONFIRMED,3.696121272,0.016,2.463,1.78,0.0448,1095,5465,0.925,0.876
53,6850504,K00070.03,Kepler-20 d,CONFIRMED,77.6114427,0.094,7.1786,2.59,0.3411,397,5465,0.925,0.876
54,6850504,K00070.04,Kepler-20 e,CONFIRMED,6.09855603,0.21,2.9815,0.84,0.0626,927,5465,0.925,0.876
55,6850504,K00070.05,Kepler-20 f,CONFIRMED,19.5776073,0.049,3.382,0.9,0.1362,628,5465,0.925,0.876
56,11904151,K00072.01,Kepler-10 b,CONFIRMED,0.837491225,0.022,1.796,1.43,0.0167,1980,5676,1.044,0.884
57,11904151,K00072.02,Kepler-10 c,CONFIRMED,45.29422297,0.025,6.83,2.26,0.2388,524,5676,1.044,0.884
58,6889235,K00074.01,,FALSE POSITIVE,5.188671659,0.884,5.0534,5.2,0.0764,2118,9523,1.941,2.202
59,7199397,K00075.01,,CANDIDATE,105.8817667,0.539,18.044,10.16,0.4785,595,5903,2.499,1.301
60,9955262,K00076.01,,FALSE POSITIVE,77.4794704,0.019,10.1151,10.33,0.4212,778,6711,2.909,1.657
61,9552608,K00080.01,,FALSE POSITIVE,9.250572762,1.234,3.6373,96.08,0.1097,1966,8133,3.294,2.053
62,8823868,K00081.01,,FALSE POSITIVE,23.8761144,0.014,9.3113,10.45,0.2237,1481,9974,2.533,2.615
63,10187017,K00082.01,Kepler-102 e,CONFIRMED,16.14567193,0.75,3.7236,2.48,0.1162,546,4900,0.741,0.806
64,10187017,K00082.02,Kepler-102 d,CONFIRMED,10.31174786,0.747,3.1818,1.34,0.0862,634,4900,0.741,0.806
65,10187017,K00082.03,Kepler-102 f,CONFIRMED,27.4536146,0.765,3.747,0.95,0.1655,457,4900,0.741,0.806
66,10187017,K00082.04,Kepler-102 c,CONFIRMED,7.07136119,0.658,2.757,0.63,0.067,719,4900,0.741,0.806
67,10187017,K00082.05,Kepler-102 b,CONFIRMED,5.28691996,0.705,2.579,0.51,0.0552,792,4900,0.741,0.806
68,10187017,K00082.06,,CANDIDATE,22.4098677,0.869,2.271,0.73,0.1446,489,4900,0.741,0.806
69,2571238,K00084.01,Kepler-19 b,CONFIRMED,9.286964466,0.004,3.3649,2.1,0.0835,762,5546,0.81,0.907
70,5866724,K00085.01,Kepler-65 c,CONFIRMED,5.859935955,0.049,4.0185,2.56,0.0682,1246,6181,1.424,1.231
71,5866724,K00085.02,Kepler-65 b,CONFIRMED,2.154911236,0.113,3.1341,1.42,0.035,1740,6181,1.424,1.231
72,5866724,K00085.03,Kepler-65 d,CONFIRMED,8.13121389,0.622,4.2386,1.58,0.0848,1117,6181,1.424,1.231
73,10593626,K00087.01,Kepler-22 b,CONFIRMED,289.864067,0.856,7.565,2.34,0.7961,257,5516,0.886,0.799
74,7700871,K00088.01,,FALSE POSITIVE,5.17968868,1.203,3.7256,18.91,0.0557,972,5761,0.815,0.857
75,8056665,K00089.01,Kepler-462 b,CONFIRMED,84.6877524,0.017,10.0248,3.37,0.4172,611,6688,1.79,1.353
76,8056665,K00089.02,Kepler-462 c,CONFIRMED,207.5829306,0.84,7.0686,4.52,0.7584,453,6688,1.79,1.353
77,9210823,K00090.01,,FALSE POSITIVE,0.828206212,0.615,1.737,3.88,0.0198,3274,5812,3.227,1.504
78,7941200,K00092.01,Kepler-1709 b,CONFIRMED,65.7045275,0.663,3.3104,2.78,0.3192,472,5918,1.043,1.003
79,6462863,K00094.01,Kepler-89 d,CONFIRMED,22.34296483,0.031,6.66405,9.99,0.1607,785,6181,1.331,1.106
80,6462863,K00094.02,Kepler-89 c,CONFIRMED,10.42367744,0.005,5.2257,3.72,0.0967,1012,6181,1.331,1.106
81,6462863,K00094.03,Kepler-89 e,CONFIRMED,54.31996151,0.497,8.5858,6.07,0.2906,584,6181,1.331,1.106
82,6462863,K00094.04,Kepler-89 b,CONFIRMED,3.743166733,0.008,3.6888,1.5,0.0488,1423,6181,1.331,1.106
83,5780885,K00097.01,Kepler-7 b,CONFIRMED,4.885488596,0.361,5.16165,16.66,0.0605,1496,6036,1.909,1.236
84,10264660,K00098.01,Kepler-14 b,CONFIRMED,6.790120801,0.486,6.0437,9.86,0.0769,1434,6372,2.001,1.313
85,4055765,K00100.01,,CANDIDATE,9.9664004,0.966,5.0127,16.89,0.106,1578,6638,3.079,1.595
86,8456679,K00102.01,Kepler-1990 b,CONFIRMED,1.73513619,0.045,2.2741,3.27,0.0286,1554,5751,1.071,1.028
87,8456679,K00102.02,Kepler-1990 c,CONFIRMED,4.06844957,0.55,2.8349,0.98,0.0504,1170,5751,1.071,1.028
88,2444412,K00103.01,Kepler-1710 b,CONFIRMED,14.91095177,0.014,3.325,2.62,0.1159,694,5650,0.899,0.932
89,10318874,K00104.01,Kepler-94 b,CONFIRMED,2.508057497,0.742,1.1134,3.25,0.034,997,4780,0.761,0.835
90,8711794,K00105.01,Kepler-463 b,CONFIRMED,8.981014925,0.097,1.8478,3.14,0.078,880,5666,0.967,0.785
91,10489525,K00106.01,,FALSE POSITIVE,1.612249049,1.171,4.235,50.98,0.0308,2713,6732,2.569,1.495
92,11250587,K00107.01,Kepler-464 b,CONFIRMED,7.256962446,0.676,4.9402,3.53,0.0765,1163,5858,1.549,1.133
93,4914423,K00108.01,Kepler-103 b,CONFIRMED,15.96532718,0.674,4.5837,3.33,0.1269,872,5880,1.433,1.068
94,4914423,K00108.02,Kepler-103 c,CONFIRMED,179.609803,0.711,13.755,5.47,0.6372,389,5880,1.433,1.068
95,4752451,K00109.01,,FALSE POSITIVE,6.41496453,1.187,3.9015,25.79,0.0659,1153,6170,1.183,0.927
96,9450647,K00110.01,Kepler-465 b,CONFIRMED,9.940666412,0.02,3.9092,2.87,0.0953,996,6215,1.259,1.17
97,6678383,K00111.01,Kepler-104 b,CONFIRMED,11.42755098,0.608,4.6074,2.35,0.0964,852,5979,1.005,0.913
98,6678383,K00111.02,Kepler-104 c,CONFIRMED,23.66834635,0.758,5.8297,2.32,0.1566,668,5979,1.005,0.913
99,6678383,K00111.03,Kepler-104 d,CONFIRMED,51.75530504,0.638,7.4355,2.61,0.2638,515,5979,1.005,0.913
100,10984090,K00112.01,Kepler-466 b,CONFIRMED,51.07926451,0.017,6.3729,2.75,0.2671,503,5833,1.022,0.974
101,10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,0.051,2.6302,1.16,0.0465,1206,5833,1.022,0.974
102,6721123,K00114.01,,FALSE POSITIVE,7.36178958,1.169,5.022,39.21,0.082,1342,6227,1.958,1.358
103,9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,0.787,2.9472,2.94,0.0591,1093,5779,1.087,0.941
104,9579641,K00115.02,Kepler-105 c,CONFIRMED,7.12594387,0.898,3.0014,1.79,0.0711,997,5779,1.087,0.941
105,9579641,K00115.03,,CANDIDATE,3.43591631,0.624,3.133,0.55,0.0437,1272,5779,1.087,0.941
106,8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57078281,0.866,3.3539,2.64,0.1096,785,5854,1.012,0.951
107,8395660,K00116.02,Kepler-106 e,CONFIRMED,43.84439721,0.852,6.802,2.87,0.2395,531,5854,1.012,0.951
108,8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164876,0.646,3.262,0.79,0.0648,1021,5854,1.012,0.951
109,8395660,K00116.04,Kepler-106 d,CONFIRMED,23.9800854,0.95,5.351,1.31,0.1602,649,5854,1.012,0.951
110,10875245,K00117.01,Kepler-107 e,CONFIRMED,14.74914825,0.173,6.0995,2.89,0.1221,874,5847,1.402,1.113
111,10875245,K00117.02,Kepler-107 c,CONFIRMED,4.90144976,0.529,4.1654,1.7,0.0586,1262,5847,1.402,1.113
112,10875245,K00117.03,Kepler-107 b,CONFIRMED,3.180027898,0.196,3.5797,1.53,0.0439,1458,5847,1.402,1.113
113,10875245,K00117.04,Kepler-107 d,CONFIRMED,7.95825328,0.706,4.377,1.06,0.0809,1074,5847,1.402,1.113
114,3531558,K00118.01,Kepler-467 b,CONFIRMED,24.99324319,0.686,5.9409,2.29,0.1651,712,5718,1.317,0.961
115,9471974,K00119.01,Kepler-108 b,CONFIRMED,49.18394185,0.035,11.3364,8.2,0.2829,669,5626,2.057,1.247
116,9471974,K00119.02,Kepler-108 c,CONFIRMED,190.3200468,0.812,15.284,7.78,0.6972,426,5626,2.057,1.247
117,11869052,K00120.01,,CANDIDATE,20.5452375,0.95,2.517,2.41,0.1437,742,5670,1.264,0.937
118,3247396,K00121.01,,FALSE POSITIVE,8.8111022,1.223,5.0683,63.66,0.0919,1399,6200,2.404,1.333
119,8349582,K00122.01,Kepler-95 b,CONFIRMED,11.52306746,0,3.8757,3.13,0.1017,927,5644,1.411,1.053
120,5094751,K00123.01,Kepler-109 b,CONFIRMED,6.481633073,0.833,3.784,2.54,0.0683,1145,5945,1.302,1.009
121,5094751,K00123.02,Kepler-109 c,CONFIRMED,21.22261195,0.02,6.5093,2.48,0.1506,771,5945,1.302,1.009
122,11086270,K00124.01,Kepler-110 b,CONFIRMED,12.69104387,0.008,3.7727,2.57,0.1072,1008,5869,1.626,1.019
123,11086270,K00124.02,Kepler-110 c,CONFIRMED,31.71981013,0.125,4.819,3.09,0.1975,743,5869,1.626,1.019
124,11449844,K00125.01,Kepler-468 b,CONFIRMED,38.47876629,0.003,5.04169,13.26,0.2213,484,5510,0.879,0.973
125,5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,33.80364366,0.023,11.4813,20.7,0.216,745,5855,1.796,1.174
126,5897826,K00126.02,,CANDIDATE,0.875197345,1.004,0.052,0.73,0.0189,2518,5855,1.796,1.174
127,8359498,K00127.01,Kepler-77 b,CONFIRMED,3.578780566,0.079,2.91089,10.43,0.045,1145,5524,0.994,0.95
128,11359879,K00128.01,Kepler-15 b,CONFIRMED,4.942783419,0.566,3.25346,10.62,0.0569,1008,5514,0.978,1.003
129,11974540,K00129.01,Kepler-470 b,CONFIRMED,24.66919273,0.073,7.03515,77.76,0.2322,1485,5313,9.327,2.736
130,5297298,K00130.01,,CANDIDATE,34.19360031,0.625,5.41382,21.95,0.2155,778,6129,1.786,1.14
131,7778437,K00131.01,Kepler-471 b,CONFIRMED,5.014234733,0.066,4.589,10.63,0.0626,1308,6490,1.307,1.304
132,8892910,K00132.01,,FALSE POSITIVE,10.81013273,0.948,4.4618,13.95,0.0993,985,6211,1.284,1.114
133,11673674,K00133.01,,FALSE POSITIVE,4.618767792,0.766,5.9957,7.48,0.0531,1170,6013,1.033,0.938
134,9032900,K00134.01,,FALSE POSITIVE,67.5923754,0.728,12.249,12.1,0.3582,588,6038,1.744,1.341
135,9818381,K00135.01,Kepler-43 b,CONFIRMED,3.024092505,0.424,2.8021,12.14,0.0438,1489,6063,1.358,1.227
136,7601633,K00136.01,,FALSE POSITIVE,15.66388695,0.985,2.4775,27.36,0.1382,1060,5996,2.221,1.43
137,8644288,K00137.01,Kepler-18 c,CONFIRMED,7.641567589,0.027,3.41018,4.91,0.0729,899,5356,1.055,0.882
138,8644288,K00137.02,Kepler-18 d,CONFIRMED,14.85890852,0.255,3.5252,5.94,0.1136,720,5356,1.055,0.882
139,8644288,K00137.03,Kepler-18 b,CONFIRMED,3.504691252,0.741,1.9811,2.03,0.0434,1165,5356,1.055,0.882
140,8506766,K00138.01,,FALSE POSITIVE,48.93786896,0.981,6.5868,24.19,0.2934,764,7066,1.761,1.406
141,8559644,K00139.01,Kepler-111 c,CONFIRMED,224.7789355,0.652,11.1899,7.67,0.7456,333,5873,1.235,1.092
142,8559644,K00139.02,Kepler-111 b,CONFIRMED,3.341799486,0.426,2.9254,1.67,0.0451,1356,5873,1.235,1.092
143,5130369,K00140.01,,FALSE POSITIVE,19.97867,0.923,10.168,6.85,0.1881,1351,9651,1.895,2.219
144,12105051,K00141.01,,CANDIDATE,2.624234833,0.781,1.3874,5.11,0.0368,1164,5340,0.899,0.963
145,4649305,K00143.01,,CANDIDATE,22.65117451,0.925,3.6895,7.62,0.1721,855,6968,1.333,1.333
146,4180280,K00144.01,Kepler-472 b,CONFIRMED,4.176254191,0.715,3.6716,3.07,0.0483,876,4957,0.776,0.867
147,9904059,K00145.01,,CANDIDATE,102.9641952,0.922,15.735,39,0.5554,797,5047,7.119,2.15
148,9048161,K00146.01,,FALSE POSITIVE,8.667822346,1.276,4.9658,67.37,0.085,1303,6266,1.889,1.089
149,1996679,K00147.01,,FALSE POSITIVE,145.5624926,1.274,5.4126,40.15,0.5364,387,6148,1.095,0.969
150,5735762,K00148.01,Kepler-48 b,CONFIRMED,4.77800306,0.02,2.7361,1.85,0.0528,932,5192,0.873,0.856
151,5735762,K00148.02,Kepler-48 c,CONFIRMED,9.673958488,0.194,3.2641,2.63,0.0845,736,5192,0.873,0.856
152,5735762,K00148.03,Kepler-48 d,CONFIRMED,42.89645024,0.007,5.6897,2,0.2279,448,5192,0.873,0.856
153,3835670,K00149.01,Kepler-473 b,CONFIRMED,14.55730897,0.036,7.7643,4.32,0.1186,879,5774,1.412,1.048
154,7626506,K00150.01,Kepler-112 b,CONFIRMED,8.408878137,0.018,3.4967,2.28,0.0744,809,5551,0.812,0.776
155,7626506,K00150.02,Kepler-112 c,CONFIRMED,28.5742692,0.068,4.9427,2.32,0.1681,538,5551,0.812,0.776
156,2307199,K00151.01,,CANDIDATE,13.4471791,0.963,3.0454,5.24,0.1109,848,6276,1.041,1.001
157,8394721,K00152.01,Kepler-79 d,CONFIRMED,52.09081627,0.065,8.6388,7.14,0.2822,592,6198,1.324,1.101
158,8394721,K00152.02,Kepler-79 c,CONFIRMED,27.40229859,0.022,6.8491,3.63,0.1839,734,6198,1.324,1.101
159,8394721,K00152.03,Kepler-79 b,CONFIRMED,13.48457668,0.011,5.0197,3.39,0.1146,929,6198,1.324,1.101
160,8394721,K00152.04,Kepler-79 e,CONFIRMED,81.0637895,0.584,3.001,3.01,0.379,511,6198,1.324,1.101
161,12252424,K00153.01,Kepler-113 c,CONFIRMED,8.925079516,0.74,2.6766,2.36,0.0763,628,4728,0.693,0.768
162,12252424,K00153.02,Kepler-113 b,CONFIRMED,4.75400072,0.672,2.5394,2,0.0502,775,4728,0.693,0.768
163,8030148,K00155.01,Kepler-474 b,CONFIRMED,5.660669429,0.477,4.6483,3.24,0.0606,1115,5746,1.173,0.927
164,10925104,K00156.01,Kepler-114 c,CONFIRMED,8.041347775,0.26,2.6332,1.29,0.0648,507,3980,0.54,0.56
165,10925104,K00156.02,Kepler-114 b,CONFIRMED,5.188563677,0.179,2.3683,1,0.0484,586,3980,0.54,0.56
166,10925104,K00156.03,Kepler-114 d,CONFIRMED,11.77613232,0.54,2.8971,2.08,0.0836,446,3980,0.54,0.56
167,6541920,K00157.01,Kepler-11 c,CONFIRMED,13.02493307,0.004,4.5706,2.88,0.1055,786,5657,1.046,0.921
168,6541920,K00157.02,Kepler-11 d,CONFIRMED,22.687155,0.023,5.4921,3.2,0.1528,653,5657,1.046,0.921
169,6541920,K00157.03,Kepler-11 e,CONFIRMED,31.99552485,0.69,4.2817,4.12,0.1921,582,5657,1.046,0.921
170,6541920,K00157.04,Kepler-11 f,CONFIRMED,46.6856205,0.217,6.3794,2.52,0.2472,513,5657,1.046,0.921
171,6541920,K00157.05,Kepler-11 g,CONFIRMED,118.3786735,0.011,9.5574,3.4,0.4596,376,5657,1.046,0.921
172,6541920,K00157.06,Kepler-11 b,CONFIRMED,10.30401132,0.017,4.2246,1.84,0.0903,849,5657,1.046,0.921
173,10555375,K00158.01,,FALSE POSITIVE,5.80181368,0.967,4.119,4.52,0.0665,1491,6020,2.097,1.162
174,8972058,K00159.01,Kepler-115 c,CONFIRMED,8.99088621,0.77,4.2447,2.78,0.0856,960,5881,1.171,1.032
175,8972058,K00159.02,Kepler-115 b,CONFIRMED,2.403640701,0.918,1.4012,1.24,0.0355,1489,5881,1.171,1.032
176,6631721,K00160.01,,CANDIDATE,13.73808249,0.957,3.354,3.84,0.112,912,6375,1.178,0.991
177,5084942,K00161.01,Kepler-475 b,CONFIRMED,3.105507835,0.799,1.7458,2.68,0.0399,980,4989,0.791,0.878
178,8107380,K00162.01,Kepler-476 b,CONFIRMED,14.00640392,0.568,4.6919,3.11,0.1126,807,5788,1.124,0.969
179,6851425,K00163.01,Kepler-477 b,CONFIRMED,11.1199028,0.72,3.3759,2.08,0.0911,649,5078,0.766,0.816
180,5652237,K00164.01,,FALSE POSITIVE,4.4645454,0.808,2.8823,3.07,0.0559,1601,6093,1.985,1.168
181,9527915,K00165.01,Kepler-478 b,CONFIRMED,13.22175358,0.451,2.7884,2.38,0.1032,640,5211,0.799,0.838
182,2441495,K00166.01,Kepler-479 b,CONFIRMED,12.49340725,0.594,2.2614,2.2,0.0994,649,5207,0.795,0.84
183,11666881,K00167.01,Kepler-480 b,CONFIRMED,4.919584997,0.243,4.1988,2.86,0.0605,1312,6236,1.378,1.224
184,11512246,K00168.01,Kepler-23 c,CONFIRMED,10.74241765,0.034,6.0633,3.06,0.0965,1008,5761,1.518,1.036
185,11512246,K00168.02,Kepler-23 d,CONFIRMED,15.27443889,0.153,6.0765,2.17,0.122,896,5761,1.518,1.036
186,11512246,K00168.03,Kepler-23 b,CONFIRMED,7.10695741,0.079,5.1462,1.72,0.0733,1157,5761,1.518,1.036
187,6185711,K00169.01,,FALSE POSITIVE,11.70219638,1.166,2.6658,16.15,0.0951,719,5758,0.762,0.848
188,11044770,K00170.01,,FALSE POSITIVE,15.60865244,0.985,6.26,6.17,0.1508,1419,8014,2.43,1.874
189,7831264,K00171.01,Kepler-116 b,CONFIRMED,5.968724048,0.166,3.651,3.26,0.067,1251,6122,1.439,1.123
190,7831264,K00171.02,Kepler-116 c,CONFIRMED,13.07141889,0.751,3.0946,2.47,0.113,964,6122,1.439,1.123
191,8692861,K00172.01,Kepler-69 b,CONFIRMED,13.7223682,0.009,5.1231,2.23,0.1048,746,5637,0.943,0.813
192,8692861,K00172.02,Kepler-69 c,CONFIRMED,242.467406,0.173,12.808,1.73,0.7106,286,5637,0.943,0.813
193,11402995,K00173.01,Kepler-481 b,CONFIRMED,10.06083238,0.672,4.5718,2.58,0.0894,899,5705,1.14,0.939
194,10810838,K00174.01,Kepler-482 b,CONFIRMED,56.35407916,0.835,3.4449,2.59,0.2537,352,4802,0.701,0.686
195,8323753,K00175.01,,FALSE POSITIVE,6.71425632,0.965,3.339,5.76,0.0774,1565,6093,2.623,1.372
196,6442377,K00176.01,Kepler-483 b,CONFIRMED,30.22910274,0.77,6.6751,3.49,0.2072,755,6325,1.518,1.296
197,6803202,K00177.01,Kepler-1711 b,CONFIRMED,21.06075303,0.176,5.2472,1.78,0.1463,669,5706,1.034,0.94
198,11455491,K00178.01,,FALSE POSITIVE,6.14281498,0.67,4.624,1.82,0.0695,1355,6495,1.554,1.182
199,9663113,K00179.01,Kepler-458 c,CONFIRMED,20.74028645,0.431,10.3939,4.24,0.154,798,6226,1.299,1.129
200,9663113,K00179.02,Kepler-458 b,CONFIRMED,572.376632,0.712,24.42,5.8,1.4062,264,6226,1.299,1.129
201,9573539,K00180.01,Kepler-484 b,CONFIRMED,10.04556377,0.075,3.2027,2.19,0.0896,766,5632,0.853,0.952
202,12504988,K00181.01,,FALSE POSITIVE,5.093938816,0.618,3.93144,17.19,0.0598,1137,6197,1.035,1.096
203,5376836,K00182.01,,CANDIDATE,3.479425638,0.612,3.4479,12.86,0.0439,1166,5907,0.878,0.929
204,9651668,K00183.01,Kepler-423 b,CONFIRMED,2.684328541,0.076,2.69382,12.73,0.036,1265,5561,0.956,0.859
205,7972785,K00184.01,,FALSE POSITIVE,7.300735516,0.446,5.78725,13.32,0.0777,1086,6434,1.138,1.169
206,4178389,K00185.01,,FALSE POSITIVE,23.21050996,0.954,3.09802,21.19,0.1533,595,5875,0.809,0.895
207,12019440,K00186.01,Kepler-485 b,CONFIRMED,3.24325988,0.117,3.03318,12.91,0.0433,1243,5823,1.013,1.027
208,7023960,K00187.01,,FALSE POSITIVE,30.8825387,0.197,5.3737,15.4,0.1991,593,6014,0.993,1.101
209,5357901,K00188.01,Kepler-425 b,CONFIRMED,3.797018259,0.321,2.2608,10.07,0.0457,982,5167,0.848,0.883
210,11391018,K00189.01,Kepler-486 b,CONFIRMED,30.36044536,0.359,6.0134,10.99,0.1725,459,4939,0.765,0.74
211,5771719,K00190.01,,FALSE POSITIVE,12.26486736,0.818,4.7366,28.29,0.1135,1077,5372,2.344,1.295
212,5972334,K00191.01,Kepler-487 b,CONFIRMED,15.35876777,0.487,4.1223,10.89,0.1157,662,5422,0.887,0.874
213,5972334,K00191.02,Kepler-487 d,CONFIRMED,2.418406841,0.018,2.0744,2.25,0.0337,1226,5422,0.887,0.874
214,5972334,K00191.03,,CANDIDATE,0.708621057,0.033,1.5041,1.2,0.0149,1846,5422,0.887,0.874
215,5972334,K00191.04,Kepler-487 c,CONFIRMED,38.6520796,0.038,5.607,2.07,0.2141,487,5422,0.887,0.874
216,7950644,K00192.01,Kepler-427 b,CONFIRMED,10.29099413,0.049,4.28889,13.43,0.0906,996,5803,1.373,0.937
217,10799735,K00193.01,,FALSE POSITIVE,37.59029855,0.38,4.3855,14.39,0.2244,573,6147,1.003,1.064
