loc_rowid,kepid,kepoi_name,kepler_name,Exo status,Orbital period,impact parameter,transit duration,radii(planet),orbit semi major,temperature,star temp,star radii,star mass
7388,10471174,K07613.01,,FALSE POSITIVE,0.93369659,0.57,4.444,0.78,0.0182,1680,5619,0.838,0.927
7389,10471345,K07614.01,,FALSE POSITIVE,0.9337473,0.385,3.446,0.6,0.0174,1625,5649,0.741,0.841
7390,11463950,K07616.01,,FALSE POSITIVE,4.0551242,0.008,12,3.13,0.0606,2013,7064,2.531,1.806
7391,11621897,K07618.01,,FALSE POSITIVE,21.6817115,0.27,7.18,0.89,0.1566,713,6297,1.031,1.084
7392,1025986,K07621.01,,FALSE POSITIVE,275.07365,0.595,3.37,1.86,0.7891,303,5604,1.187,0.864
7393,1293046,K07622.01,,FALSE POSITIVE,36.2671673,0.214,2.065,1.5,0.1817,347,4264,0.62,0.607
7394,1434395,K07623.01,,FALSE POSITIVE,2.2227289,0.254,2.617,34.14,0.051,4454,4996,20.848,3.584
7395,1723078,K07624.01,,CANDIDATE,330.025002,0.68,6.659,5.92,1.1069,478,6126,3.466,1.658
7396,1868404,K07625.01,,FALSE POSITIVE,6.12601169,0.422,1.733,0.83,0.062,1141,5679,1.286,0.844
7397,1995712,K07626.01,,FALSE POSITIVE,462.12069,0.002,10.42,2.46,1.1265,249,6079,0.974,0.892
7398,2140389,K07627.01,,FALSE POSITIVE,0.967427812,1.248,5.8883,29.01,0.0176,1419,5066,0.709,0.784
7399,2299738,K07628.01,,CANDIDATE,1.8134378,0.418,7.776,0.69,0.0264,1158,5094,0.7,0.743
7400,2302758,K07629.01,,FALSE POSITIVE,0.542122617,0.108,1.283,0.94,0.0134,2238,5875,0.998,1.088
7401,2302997,K07630.01,,CANDIDATE,16.2982201,0.698,2.558,0.78,0.1025,388,3905,0.521,0.538
7402,2308411,K07631.01,,FALSE POSITIVE,0.983304511,0.477,1.78,1.1,0.021,2121,6363,1.198,1.273
7403,2446134,K07632.01,,FALSE POSITIVE,39.1307086,0.013,2.295,1.54,0.2309,600,6295,1.08,1.065
7404,2449053,K07633.01,,FALSE POSITIVE,0.73975345,0.525,4.2,2.09,0.0153,1818,5271,0.935,0.869
7405,2569995,K07634.01,,FALSE POSITIVE,80.84069,0.003,8.567,15.11,0.3768,500,5511,1.597,1.089
7406,2577353,K07635.01,,CANDIDATE,60.458443,0.451,8.43,1.59,0.3025,511,5865,1.181,1.008
7407,2696205,K07636.01,,CANDIDATE,0.702739679,0.742,1.379,0.73,0.0145,1765,5269,0.836,0.819
7408,2711131,K07637.01,,FALSE POSITIVE,2.85889907,0.936,1.465,0.73,0.0371,989,4973,0.754,0.848
7409,2834805,K07638.01,,CANDIDATE,25.0032023,0.756,5.498,1.47,0.1767,837,6148,1.685,1.176
7410,2854839,K07639.01,,FALSE POSITIVE,1.05569286,0.131,1.289,0.45,0.0184,1395,4955,0.751,0.748
7411,2859299,K07640.01,,FALSE POSITIVE,0.643703667,0.036,0.801,1.48,0.0148,2358,6161,1.114,1.038
7412,2984990,K07641.01,,CANDIDATE,3.79437277,0.05,2.289,1.36,0.0456,1383,5455,1.507,0.877
7413,3003019,K07642.01,,FALSE POSITIVE,0.502622858,0.693,3.085,1.41,0.0127,2478,6029,1.098,1.065
7414,3102309,K07643.01,,FALSE POSITIVE,4.20253859,0.937,5.389,0.71,0.0479,1136,5596,1.015,0.829
7415,3110177,K07644.01,,CANDIDATE,3.39904814,0.596,2.922,0.81,0.0423,1191,5766,0.929,0.876
7416,3129238,K07645.01,,CANDIDATE,2.00870696,0.194,4.87,0.55,0.0278,1232,5341,0.759,0.705
7417,3218844,K07646.01,,FALSE POSITIVE,85.112898,0.033,2.503,2.21,0.3862,422,6018,0.975,1.058
7418,3230095,K07647.01,,FALSE POSITIVE,7.04716175,0.856,2.693,1.1,0.0684,817,5496,0.776,0.869
7419,3232249,K07648.01,,CANDIDATE,1.183505016,0.403,1.275,0.8,0.0203,1293,4832,0.746,0.791
7420,3235282,K07649.01,,FALSE POSITIVE,494.165759,0.41,2.239,4.5,1.313,265,6392,1.162,1.232
7421,3241647,K07650.01,,FALSE POSITIVE,0.851678507,0.418,2.028,0.85,0.0173,1840,5403,1.029,0.945
7422,3248696,K07651.01,,FALSE POSITIVE,383.43595,0.025,11.059,2.53,0.959,214,5576,0.729,0.823
7423,3345973,K07652.01,,FALSE POSITIVE,15.3466028,0.591,4.966,3.64,0.1414,1194,6771,2.259,1.597
7424,3347807,K07653.01,,FALSE POSITIVE,324.18028,0.733,18.15,2.2,0.9789,382,5792,2.183,1.19
7425,3353454,K07654.01,,FALSE POSITIVE,1.6911935,0.903,9.479,6.36,0.0278,1528,5780,1,1
7426,3439126,K07655.01,,FALSE POSITIVE,2.9761504,0.064,6.079,1.02,0.0352,811,4236,0.664,0.657
7427,3448456,K07656.01,,FALSE POSITIVE,0.776950288,0.047,1.288,1.72,0.0163,1882,5861,0.865,0.957
7428,3531231,K07657.01,,FALSE POSITIVE,62.060783,0.928,28.203,2.11,0.2906,400,5526,0.784,0.85
7429,3542542,K07658.01,,FALSE POSITIVE,3.47148164,0.719,4.679,0.85,0.0415,970,5297,0.716,0.8
7430,3644631,K07659.01,,FALSE POSITIVE,358.96247,0.424,23.49,2.37,0.9901,242,5743,0.904,1.003
7431,3644738,K07660.01,,FALSE POSITIVE,358.96844,0.151,21.71,2.7,0.9972,263,6117,0.947,1.025
7432,3645282,K07661.01,,FALSE POSITIVE,0.673684895,0.547,1.161,0.7,0.0147,2001,5645,0.951,0.936
7433,3660581,K07662.01,,CANDIDATE,4.72519164,0.6,3.751,3.98,0.0652,2250,6655,3.831,1.653
7434,3663141,K07663.01,,FALSE POSITIVE,2.31894284,0.72,5.321,0.87,0.0344,1375,5780,1,1
7435,3732972,K07664.01,,FALSE POSITIVE,1.540398683,0.47,1.5676,12.65,0.0321,4689,4971,14.678,1.854
7436,3750350,K07665.01,,FALSE POSITIVE,319.30633,0.092,6.74,1.26,0.9383,279,6095,1.014,1.08
7437,3751231,K07666.01,,FALSE POSITIVE,0.570953851,0.059,0.998,1.01,0.0143,2464,6238,1.145,1.193
7438,3762750,K07668.01,,CANDIDATE,2.5093344,0.019,1.833,1.47,0.0377,1483,6278,1.081,1.132
7439,3839294,K07669.01,,FALSE POSITIVE,137.665706,0.041,3.732,15.41,0.6051,720,4832,6.897,1.553
7440,3848083,K07670.01,,CANDIDATE,8.4795266,0.136,6.052,1.18,0.0827,865,5841,0.931,1.047
7441,3851194,K07671.01,,FALSE POSITIVE,0.918510251,0.622,2.587,1.77,0.0198,2795,5837,2.338,1.232
7442,3852476,K07672.01,,FALSE POSITIVE,111.741576,0.057,3.83,6.88,0.5343,676,5267,4.525,1.628
7443,3852872,K07673.01,,CANDIDATE,80.769893,0.158,4.2,1.87,0.3625,475,4965,1.708,0.973
7444,3858943,K07674.01,,FALSE POSITIVE,25.9528725,0.741,12.434,1.53,0.1797,697,6370,1.106,1.148
7445,3859042,K07675.01,,FALSE POSITIVE,25.94947,0.678,15.7,1.22,0.1613,508,5348,0.748,0.838
7446,3934657,K07676.01,,CANDIDATE,5.3694084,0.837,3.949,0.62,0.059,974,5753,0.869,0.951
7447,3967501,K07677.01,,FALSE POSITIVE,43.0759115,1.256,90.95,213.46,0.2453,1032,4766,5.915,1.059
7448,4048898,K07678.01,,CANDIDATE,13.0914878,0.145,2.037,0.79,0.1104,892,5919,1.288,1.048
